rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
1,30,5341,suppresses_cannot,-0.0389994196593761,0.0389994196593761,0.0389994196593761,0.0495647676289081,0.0,1.0,0.7868375182151794
2,31,9936,supports_cannot,0.0316525883972644,0.0316525883972644,0.0328285358846187,0.0265288446098566,0.9432989954948424,0.9432989954948424,1.193138599395752
3,16,1241,supports_cannot,0.024430776014924,0.024430776014924,0.0245958697050809,0.0280885063111782,0.984536111354828,0.984536111354828,0.8697783946990967
4,11,11321,supports_cannot,0.0181614980101585,0.0181614980101585,0.0181614980101585,0.0212956722825765,1.0,1.0,0.8528257608413696
5,13,4208,supports_cannot,0.0165222007781267,0.0165222007781267,0.0173504222184419,0.0232503674924373,0.938144326210022,0.938144326210022,0.7106210589408875
6,31,4690,supports_cannot,0.0133120007812976,0.0133120007812976,0.0143220890313386,0.0217744465917348,0.8453608155250549,0.8453608155250549,0.6113588809967041
7,20,2204,supports_cannot,0.0128553723916411,0.0128553723916411,0.0128553723916411,0.0122260432690382,1.0,1.0,1.0514744520187378
8,20,5425,suppresses_cannot,-0.0116213764995336,0.0116213764995336,0.0116213764995336,0.0136335706338286,0.0,1.0,0.8524088859558105
9,25,8701,supports_cannot,0.0113861244171857,0.0113861244171857,0.0113861244171857,0.0086104115471243,1.0,1.0,1.3223670721054075
10,27,6070,suppresses_cannot,-0.0113402344286441,0.0113402344286441,0.0113402344286441,0.0109015544876456,0.0,1.0,1.0402401685714722
11,7,6673,supports_cannot,0.0103407073765993,0.0103407073765993,0.0104484483599662,0.0118125444278121,0.984536111354828,0.984536111354828,0.8754004836082458
12,6,5866,supports_cannot,0.0103185297921299,0.0103185297921299,0.0116765229031443,0.0130782844498753,0.8917526006698608,0.8917526006698608,0.7889819145202637
13,24,5326,suppresses_cannot,-0.0101906787604093,0.0101906787604093,0.0104982135817408,0.0122821824625134,0.0154639175161719,0.984536111354828,0.8297123908996582
14,11,4258,supports_cannot,0.0091192200779914,0.0091192200779914,0.0102089149877429,0.024082213640213,0.6649484634399414,0.6649484634399414,0.378670334815979
15,12,13860,supports_cannot,0.0091066658496856,0.0091066658496856,0.0092341629788279,0.0112266242504119,0.9742268323898317,0.9742268323898317,0.8111668825149536
16,20,3972,supports_cannot,0.0090092653408646,0.0090092653408646,0.0102422656491398,0.0177055243402719,0.8092783689498901,0.8092783689498901,0.5088392496109009
