rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
2,31,9936,supports_cannot,0.0316525883972644,0.0316525883972644,0.0328285358846187,0.0265288446098566,0.9432989954948424,0.9432989954948424,1.193138599395752
3,16,1241,supports_cannot,0.024430776014924,0.024430776014924,0.0245958697050809,0.0280885063111782,0.984536111354828,0.984536111354828,0.8697783946990967
4,11,11321,supports_cannot,0.0181614980101585,0.0181614980101585,0.0181614980101585,0.0212956722825765,1.0,1.0,0.8528257608413696
5,13,4208,supports_cannot,0.0165222007781267,0.0165222007781267,0.0173504222184419,0.0232503674924373,0.938144326210022,0.938144326210022,0.7106210589408875
6,31,4690,supports_cannot,0.0133120007812976,0.0133120007812976,0.0143220890313386,0.0217744465917348,0.8453608155250549,0.8453608155250549,0.6113588809967041
7,20,2204,supports_cannot,0.0128553723916411,0.0128553723916411,0.0128553723916411,0.0122260432690382,1.0,1.0,1.0514744520187378
9,25,8701,supports_cannot,0.0113861244171857,0.0113861244171857,0.0113861244171857,0.0086104115471243,1.0,1.0,1.3223670721054075
11,7,6673,supports_cannot,0.0103407073765993,0.0103407073765993,0.0104484483599662,0.0118125444278121,0.984536111354828,0.984536111354828,0.8754004836082458
12,6,5866,supports_cannot,0.0103185297921299,0.0103185297921299,0.0116765229031443,0.0130782844498753,0.8917526006698608,0.8917526006698608,0.7889819145202637
14,11,4258,supports_cannot,0.0091192200779914,0.0091192200779914,0.0102089149877429,0.024082213640213,0.6649484634399414,0.6649484634399414,0.378670334815979
15,12,13860,supports_cannot,0.0091066658496856,0.0091066658496856,0.0092341629788279,0.0112266242504119,0.9742268323898317,0.9742268323898317,0.8111668825149536
16,20,3972,supports_cannot,0.0090092653408646,0.0090092653408646,0.0102422656491398,0.0177055243402719,0.8092783689498901,0.8092783689498901,0.5088392496109009
17,31,13076,supports_cannot,0.0081706885248422,0.0081706885248422,0.0081706885248422,0.0079314149916172,1.0,1.0,1.030167818069458
18,9,4255,supports_cannot,0.0078616384416818,0.0078616384416818,0.0081612104550004,0.0084496065974235,0.9484536051750184,0.9484536051750184,0.9304147362709044
23,31,14073,supports_cannot,0.0071415067650377,0.0071415067650377,0.0071415067650377,0.0063456185162067,1.0,1.0,1.1254233121871948
24,22,4821,supports_cannot,0.0066542872227728,0.0066542872227728,0.0067919306457042,0.0062331561930477,0.9896907210350036,0.9896907210350036,1.0675630569458008
25,15,11853,supports_cannot,0.0065843174234032,0.0065843174234032,0.0066802846267819,0.0104883471503853,0.9536082744598388,0.9536082744598388,0.6277745366096497
27,15,5679,supports_cannot,0.0063792993314564,0.0063792993314564,0.0063928179442882,0.0070149591192603,0.984536111354828,0.984536111354828,0.909385085105896
30,16,6310,supports_cannot,0.0060287825763225,0.0060287825763225,0.0060457568615674,0.0069522350095212,0.9793814420700072,0.9793814420700072,0.8671718835830688
31,18,5964,supports_cannot,0.00601168256253,0.00601168256253,0.0060276393778622,0.0057200505398213,0.9896907210350036,0.9896907210350036,1.0509841442108154
32,16,4974,supports_cannot,0.005976254120469,0.005976254120469,0.005976254120469,0.0049910238012671,1.0,1.0,1.197400450706482
35,31,5099,supports_cannot,0.0055061220191419,0.0055061220191419,0.0055109988898038,0.0059645874425768,0.9948453903198242,0.9948453903198242,0.9231354594230652
40,30,3382,supports_cannot,0.0051855873316526,0.0051855873316526,0.0051902430132031,0.0082440171390771,0.9896907210350036,0.9896907210350036,0.6290121674537659
42,19,900,supports_cannot,0.0048816227354109,0.0048816227354109,0.0048851622268557,0.0048447861336171,0.9948453903198242,0.9948453903198242,1.007603406906128
43,26,592,supports_cannot,0.0048713684082031,0.0048713684082031,0.0048713684082031,0.0042776339687407,1.0,1.0,1.138799786567688
44,15,10757,supports_cannot,0.0046776938252151,0.0046776938252151,0.0046946438960731,0.005163736641407,0.9896907210350036,0.9896907210350036,0.9058738350868224
