rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_ig,positive_fraction,sign_consistency,snr
1,30,5341,suppresses_cannot,-0.0041758017614483,0.0041758017614483,0.0041758017614483,0.0055041927844285,0.0,1.0,0.7586583495140076
8,27,6070,suppresses_cannot,-0.0012245386606082,0.0012245386606082,0.0012245386606082,0.0012748100562021,0.0,1.0,0.9605655670166016
9,20,5425,suppresses_cannot,-0.0012222337536513,0.0012222337536513,0.0012222337536513,0.0014733874704688,0.0,1.0,0.829539954662323
10,24,5326,suppresses_cannot,-0.0011762202484533,0.0011762202484533,0.0012032181257382,0.0013992215972393,0.0103092780336737,0.9896907210350036,0.8406246900558472
16,23,7812,suppresses_cannot,-0.0009197266772389,0.0009197266772389,0.0009323911508545,0.0010541800875216,0.0360824726521968,0.9639175534248352,0.8724569082260132
18,30,13853,suppresses_cannot,-0.0008754103328101,0.0008754103328101,0.0008754103328101,0.0007495792815461,0.0,1.0,1.1678688526153564
21,20,6356,suppresses_cannot,-0.0008084202418103,0.0008084202418103,0.0008084202418103,0.0006255051121115,0.0,1.0,1.292427897453308
22,22,12959,suppresses_cannot,-0.0007666088058613,0.0007666088058613,0.0007857689633965,0.0008753165020607,0.0670103058218956,0.9329897165298462,0.8758075833320618
23,31,5041,suppresses_cannot,-0.0007598387892358,0.0007598387892358,0.0007598387892358,0.0007013530703261,0.0,1.0,1.0833898782730105
28,30,5905,suppresses_cannot,-0.0006638989434577,0.0006638989434577,0.0006638989434577,0.0005487517919391,0.0,1.0,1.2098346948623655
29,22,8514,suppresses_cannot,-0.000662421749439,0.000662421749439,0.0006646738038398,0.0006842488073743,0.0154639175161719,0.984536111354828,0.9681007266044616
32,31,714,suppresses_cannot,-0.0006026226328685,0.0006026226328685,0.0006026226328685,0.0005727799143642,0.0,1.0,1.052101492881775
34,16,6950,suppresses_cannot,-0.0005940039409324,0.0005940039409324,0.0006237724446691,0.0008922726847231,0.0463917516171932,0.9536082744598388,0.6657201647758484
35,14,3917,suppresses_cannot,-0.0005924105644226,0.0005924105644226,0.0006503352196887,0.00082059786655,0.1030927821993827,0.8969072103500366,0.7219255566596985
36,16,2432,suppresses_cannot,-0.0005880686221644,0.0005880686221644,0.0005880686221644,0.000573247380089,0.0,1.0,1.0258548259735107
39,31,9678,suppresses_cannot,-0.0005482379929162,0.0005482379929162,0.0005482379929162,0.0004963602987118,0.0,1.0,1.1045161485671997
42,10,9064,suppresses_cannot,-0.0005257624434307,0.0005257624434307,0.0006167443352751,0.0006182427168823,0.0824742242693901,0.9175257682800292,0.8504142761230469
45,12,1481,suppresses_cannot,-0.0005151641671545,0.0005151641671545,0.0005801277002319,0.00083646614803,0.0979381427168846,0.9020618796348572,0.6158816814422607
48,28,5152,suppresses_cannot,-0.0004988383152522,0.0004988383152522,0.0004988383152522,0.000382406899007,0.0,1.0,1.3044699430465698
50,17,13532,suppresses_cannot,-0.0004855633887927,0.0004855633887927,0.0005716865998692,0.0006820372655056,0.1082474216818809,0.8917526006698608,0.7119308710098267
52,20,13715,suppresses_cannot,-0.0004776909772772,0.0004776909772772,0.0004776909772772,0.000786535849329,0.0,1.0,0.6073352694511414
55,20,9424,suppresses_cannot,-0.0004660499398596,0.0004660499398596,0.0005669753300026,0.0007493781740777,0.1391752511262893,0.8608247637748718,0.6219155788421631
57,16,8987,suppresses_cannot,-0.0004533956234809,0.0004533956234809,0.0004533956234809,0.000631196598988,0.0,1.0,0.7183112502098083
60,24,3804,suppresses_cannot,-0.000445816636784,0.000445816636784,0.000445816636784,0.0004212430503685,0.0,1.0,1.0583359003067017
61,14,5718,suppresses_cannot,-0.0004457502509467,0.0004457502509467,0.0004635769582819,0.0005590128130279,0.0360824726521968,0.9639175534248352,0.7973882555961609
62,17,4374,suppresses_cannot,-0.0004448995168786,0.0004448995168786,0.0004718709096778,0.0004552440950646,0.0567010305821895,0.9432989954948424,0.9772768616676332
63,31,10712,suppresses_cannot,-0.0004373238771222,0.0004373238771222,0.0004373238771222,0.000379027420422,0.0,1.0,1.153805375099182
65,26,13447,suppresses_cannot,-0.0004330335941631,0.0004330335941631,0.0004330335941631,0.0003620705392677,0.0,1.0,1.195992350578308
66,24,12782,suppresses_cannot,-0.0004282670561224,0.0004282670561224,0.0004282670561224,0.0003052682732231,0.0,1.0,1.4029202461242676
