rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
1,31,4302,supports_refusal,0.2821728587150574,0.2821728587150574,0.2821728587150574,0.07649945467710495,1.0,1.0
2,27,8140,supports_refusal,0.20774413645267487,0.20774413645267487,0.20774413645267487,0.07655547559261322,1.0,1.0
3,31,2398,supports_refusal,0.17915023863315582,0.17915023863315582,0.18006332218647003,0.0671619176864624,0.9800000190734863,0.9800000190734863
4,31,1209,supports_refusal,0.17031845450401306,0.17031845450401306,0.17100967466831207,0.04893452674150467,0.9850000143051147,0.9850000143051147
5,13,4208,suppresses_refusal,-0.16730286180973053,0.16730286180973053,0.1977386474609375,0.17926019430160522,0.13500000536441803,0.8650000095367432
6,30,14130,supports_refusal,0.15618889033794403,0.15618889033794403,0.15646019577980042,0.0693797916173935,0.9800000190734863,0.9800000190734863
7,30,13607,supports_refusal,0.15413695573806763,0.15413695573806763,0.1547814905643463,0.05104290693998337,0.9950000047683716,0.9950000047683716
8,26,2407,supports_refusal,0.1522187739610672,0.1522187739610672,0.1522187739610672,0.06544029712677002,1.0,1.0
9,31,2743,supports_refusal,0.15191105008125305,0.15191105008125305,0.15208309888839722,0.05971908941864967,0.9850000143051147,0.9850000143051147
10,29,4655,supports_refusal,0.1495491862297058,0.1495491862297058,0.15045371651649475,0.09275880455970764,0.9800000190734863,0.9800000190734863
11,29,4145,suppresses_refusal,-0.13938842713832855,0.13938842713832855,0.13938842713832855,0.020542560145258904,0.0,1.0
12,29,11082,suppresses_refusal,-0.13074706494808197,0.13074706494808197,0.13216309249401093,0.032375916838645935,0.009999999776482582,0.9900000095367432
13,29,6857,supports_refusal,0.11473869532346725,0.11473869532346725,0.11498314142227173,0.044380880892276764,0.9850000143051147,0.9850000143051147
14,26,8200,suppresses_refusal,-0.10801345854997635,0.10801345854997635,0.10852371156215668,0.041682541370391846,0.009999999776482582,0.9900000095367432
15,9,4255,suppresses_refusal,-0.10559830069541931,0.10559830069541931,0.111688993871212,0.08441466838121414,0.054999999701976776,0.9449999928474426
16,30,10879,suppresses_refusal,-0.10387666523456573,0.10387666523456573,0.10415742546319962,0.03846209868788719,0.004999999888241291,0.9950000047683716
17,30,7545,supports_refusal,0.09963653236627579,0.09963653236627579,0.09963653236627579,0.050575993955135345,1.0,1.0
18,29,12010,suppresses_refusal,-0.09602294862270355,0.09602294862270355,0.11319702118635178,0.10485552996397018,0.17000000178813934,0.8299999833106995
19,30,1171,suppresses_refusal,-0.09522479772567749,0.09522479772567749,0.0954502522945404,0.040800318121910095,0.009999999776482582,0.9900000095367432
20,30,12387,suppresses_refusal,-0.0927906408905983,0.0927906408905983,0.0927906408905983,0.04552852734923363,0.0,1.0
21,31,9936,supports_refusal,0.09238666296005249,0.09238666296005249,0.10127715766429901,0.09416802227497101,0.8650000095367432,0.8650000095367432
22,31,5593,suppresses_refusal,-0.08972392976284027,0.08972392976284027,0.08973774313926697,0.050488926470279694,0.004999999888241291,0.9950000047683716
23,31,12606,supports_refusal,0.0844949334859848,0.0844949334859848,0.0844949334859848,0.042070552706718445,1.0,1.0
24,12,13860,suppresses_refusal,-0.08135329931974411,0.08135329931974411,0.09791824221611023,0.09053084254264832,0.18000000715255737,0.8199999928474426
