rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
1,31,4302,supports_refusal,0.27556151151657104,0.27556151151657104,0.27556151151657104,0.07839184254407883,1.0,1.0
2,27,8140,supports_refusal,0.20005492866039276,0.20005492866039276,0.20005492866039276,0.08939951658248901,1.0,1.0
3,31,2398,supports_refusal,0.17875365912914276,0.17875365912914276,0.181243896484375,0.07246232032775879,0.949999988079071,0.949999988079071
4,31,2743,supports_refusal,0.16138210892677307,0.16138210892677307,0.16166476905345917,0.07312233746051788,0.949999988079071,0.949999988079071
5,31,1209,supports_refusal,0.16121825575828552,0.16121825575828552,0.16285400092601776,0.04690180718898773,0.9750000238418579,0.9750000238418579
6,30,14130,supports_refusal,0.158457949757576,0.158457949757576,0.15879669785499573,0.07284639030694962,0.9750000238418579,0.9750000238418579
7,26,2407,supports_refusal,0.14475707709789276,0.14475707709789276,0.14475707709789276,0.05558919906616211,1.0,1.0
8,30,13607,supports_refusal,0.14309081435203552,0.14309081435203552,0.14309081435203552,0.04627787694334984,1.0,1.0
9,29,4655,supports_refusal,0.14103393256664276,0.14103393256664276,0.14568480849266052,0.10042530298233032,0.949999988079071,0.949999988079071
10,29,4145,suppresses_refusal,-0.14006347954273224,0.14006347954273224,0.14006347954273224,0.021781545132398605,0.0,1.0
11,29,11082,suppresses_refusal,-0.13975830376148224,0.13975830376148224,0.13975830376148224,0.021420050412416458,0.0,1.0
12,13,4208,suppresses_refusal,-0.13006591796875,0.13006591796875,0.15538330376148224,0.1456654667854309,0.20000000298023224,0.800000011920929
13,29,12010,suppresses_refusal,-0.12127075344324112,0.12127075344324112,0.13739624619483948,0.12233283370733261,0.10000000149011612,0.8999999761581421
14,26,8200,suppresses_refusal,-0.11055908352136612,0.11055908352136612,0.11055908352136612,0.039175160229206085,0.0,1.0
15,9,4255,suppresses_refusal,-0.10790710151195526,0.10790710151195526,0.1079559326171875,0.07606254518032074,0.02500000037252903,0.9750000238418579
16,29,6857,supports_refusal,0.10385589301586151,0.10385589301586151,0.10444488376379013,0.04094865545630455,0.9750000238418579,0.9750000238418579
17,30,10879,suppresses_refusal,-0.09839172661304474,0.09839172661304474,0.09839172661304474,0.03859401494264603,0.0,1.0
18,31,9936,supports_refusal,0.09213371574878693,0.09213371574878693,0.09997520595788956,0.08129270374774933,0.8999999761581421,0.8999999761581421
19,29,12561,supports_refusal,0.09043808281421661,0.09043808281421661,0.09152450412511826,0.05583684891462326,0.9750000238418579,0.9750000238418579
20,30,6989,supports_refusal,0.08921213448047638,0.08921213448047638,0.08986730873584747,0.098509781062603,0.8999999761581421,0.8999999761581421
21,30,7545,supports_refusal,0.08870544284582138,0.08870544284582138,0.08870544284582138,0.053190164268016815,1.0,1.0
22,30,12387,suppresses_refusal,-0.08725662529468536,0.08725662529468536,0.08769913017749786,0.042784128338098526,0.02500000037252903,0.9750000238418579
23,31,5593,suppresses_refusal,-0.08496551215648651,0.08496551215648651,0.08529205620288849,0.04892370477318764,0.05000000074505806,0.949999988079071
24,30,2226,suppresses_refusal,-0.08254337310791016,0.08254337310791016,0.08257503807544708,0.04059184715151787,0.02500000037252903,0.9750000238418579
25,12,13860,suppresses_refusal,-0.08182372897863388,0.08182372897863388,0.09414062649011612,0.07468941062688828,0.125,0.875
26,26,1089,suppresses_refusal,-0.079132080078125,0.079132080078125,0.079132080078125,0.023462992161512375,0.0,1.0
27,31,5230,supports_refusal,0.07912330329418182,0.07912330329418182,0.07912330329418182,0.040767211467027664,1.0,1.0
28,31,12606,supports_refusal,0.07837219536304474,0.07837219536304474,0.07837219536304474,0.04716804251074791,1.0,1.0
29,31,7450,supports_refusal,0.07798995822668076,0.07798995822668076,0.07798995822668076,0.04572097584605217,1.0,1.0
30,16,1241,supports_refusal,0.07536926120519638,0.07536926120519638,0.0845489501953125,0.08092483133077621,0.875,0.875
31,29,14120,suppresses_refusal,-0.07485504448413849,0.07485504448413849,0.07485504448413849,0.03581594303250313,0.0,1.0
32,30,1171,suppresses_refusal,-0.07457275688648224,0.07457275688648224,0.07457275688648224,0.03250495344400406,0.0,1.0
33,31,7936,supports_refusal,0.07365016639232635,0.07365016639232635,0.07489223778247833,0.056872911751270294,0.949999988079071,0.949999988079071
34,28,8945,suppresses_refusal,-0.07318612188100815,0.07318612188100815,0.07352600991725922,0.06103012338280678,0.05000000074505806,0.949999988079071
35,27,11991,supports_refusal,0.07310028374195099,0.07310028374195099,0.07310028374195099,0.04028679057955742,1.0,1.0
36,31,6432,suppresses_refusal,-0.07304839789867401,0.07304839789867401,0.07304839789867401,0.030488159507513046,0.0,1.0
37,13,13879,supports_refusal,0.0728759765625,0.0728759765625,0.0728759765625,0.06635285168886185,1.0,1.0
38,4,5270,suppresses_refusal,-0.07253952324390411,0.07253952324390411,0.07253952324390411,0.05510446056723595,0.0,1.0
39,7,6673,suppresses_refusal,-0.06905670464038849,0.06905670464038849,0.08540191501379013,0.08376523852348328,0.15000000596046448,0.8500000238418579
40,18,2106,suppresses_refusal,-0.06872101128101349,0.06872101128101349,0.06925506889820099,0.04442372918128967,0.02500000037252903,0.9750000238418579
41,31,11817,suppresses_refusal,-0.06860637664794922,0.06860637664794922,0.06867007911205292,0.03466946631669998,0.02500000037252903,0.9750000238418579
42,31,7861,supports_refusal,0.06809119880199432,0.06809119880199432,0.06954307854175568,0.025488149374723434,0.949999988079071,0.949999988079071
43,31,12525,supports_refusal,0.06763305515050888,0.06763305515050888,0.06974487006664276,0.039084695279598236,0.925000011920929,0.925000011920929
44,29,5198,suppresses_refusal,-0.06679213047027588,0.06679213047027588,0.06743867695331573,0.05934654176235199,0.07500000298023224,0.925000011920929
45,30,10840,supports_refusal,0.06628341972827911,0.06628341972827911,0.06684494018554688,0.02872110716998577,0.9750000238418579,0.9750000238418579
46,31,2305,supports_refusal,0.06613235175609589,0.06613235175609589,0.06751632690429688,0.0381593257188797,0.925000011920929,0.925000011920929
47,26,9401,suppresses_refusal,-0.06552734225988388,0.06552734225988388,0.07088012993335724,0.05928219109773636,0.15000000596046448,0.8500000238418579
48,6,5866,suppresses_refusal,-0.06483153998851776,0.06483153998851776,0.099273681640625,0.15002578496932983,0.2750000059604645,0.7250000238418579
49,27,3135,supports_refusal,0.06450672447681427,0.06450672447681427,0.06462879478931427,0.03816832974553108,0.9750000238418579,0.9750000238418579
50,26,10406,supports_refusal,0.06427283585071564,0.06427283585071564,0.0643918514251709,0.030233262106776237,0.9750000238418579,0.9750000238418579
