rank,layer,neuron,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
1,30,5341,-0.02587890625,0.02587890625,0.02587890625,0.021298209205269814,0.0,1.0,1.2150743007659912
2,31,9936,0.025300979614257812,0.025300979614257812,0.025846481323242188,0.017919793725013733,0.75,0.75,1.4119012355804443
3,11,11321,0.0152435302734375,0.0152435302734375,0.0152435302734375,0.007001024205237627,1.0,1.0,2.177328586578369
4,16,1241,0.013031005859375,0.013031005859375,0.013031005859375,0.002549816155806184,1.0,1.0,5.11056661605835
5,13,4208,0.0107574462890625,0.0107574462890625,0.0107574462890625,0.006339489948004484,1.0,1.0,1.696894645690918
6,25,8701,0.0103302001953125,0.0103302001953125,0.0103302001953125,0.001390727935358882,1.0,1.0,7.427908897399902
7,27,6070,-0.008600234985351562,0.008600234985351562,0.008600234985351562,0.00547104561701417,0.0,1.0,1.5719544887542725
8,20,2204,0.008026123046875,0.008026123046875,0.008026123046875,0.0014399964129552245,1.0,1.0,5.5737104415893555
9,20,5425,-0.00783538818359375,0.00783538818359375,0.00783538818359375,0.0017804299714043736,0.0,1.0,4.4008402824401855
10,7,6673,0.00762176513671875,0.00762176513671875,0.00762176513671875,0.005577306728810072,1.0,1.0,1.3665673732757568
11,12,13860,0.00762176513671875,0.00762176513671875,0.00762176513671875,0.002698380034416914,1.0,1.0,2.824570655822754
12,16,2432,-0.00678253173828125,0.00678253173828125,0.00678253173828125,0.0029933976475149393,0.0,1.0,2.2658305168151855
13,20,6356,-0.00673675537109375,0.00673675537109375,0.00673675537109375,0.0021383410785347223,0.0,1.0,3.150458812713623
14,22,4821,0.0066986083984375,0.0066986083984375,0.0066986083984375,0.002759648021310568,1.0,1.0,2.4273416996002197
15,24,5326,-0.0065765380859375,0.0065765380859375,0.0065765380859375,0.005212869960814714,0.0,1.0,1.261596441268921
16,31,13076,0.006378173828125,0.006378173828125,0.006378173828125,0.00270851026289165,1.0,1.0,2.3548641204833984
17,30,13853,-0.00614166259765625,0.00614166259765625,0.00614166259765625,0.0019198654918000102,0.0,1.0,3.1990067958831787
18,12,1481,-0.0058155059814453125,0.0058155059814453125,0.0058155059814453125,0.003183434484526515,0.0,1.0,1.8268024921417236
19,18,7148,0.0058040618896484375,0.0058040618896484375,0.0058040618896484375,0.0036073781084269285,1.0,1.0,1.608941912651062
20,9,4255,0.005756378173828125,0.005756378173828125,0.005756378173828125,0.0024848266039043665,1.0,1.0,2.3166115283966064
21,16,6310,0.00574493408203125,0.00574493408203125,0.00574493408203125,0.002780984854325652,1.0,1.0,2.065791130065918
22,22,12959,-0.0056476593017578125,0.0056476593017578125,0.0056476593017578125,0.0038368208333849907,0.0,1.0,1.4719632863998413
23,31,5041,-0.0055389404296875,0.0055389404296875,0.0055389404296875,0.0021236047614365816,0.0,1.0,2.6082727909088135
24,10,9064,-0.005527496337890625,0.005527496337890625,0.005527496337890625,0.004960997495800257,0.0,1.0,1.1141904592514038
25,22,8514,-0.005259394645690918,0.005259394645690918,0.005284428596496582,0.003780350787565112,0.25,0.75,1.3912451267242432
26,15,5679,0.005252838134765625,0.005252838134765625,0.005252838134765625,0.002662131329998374,1.0,1.0,1.9731701612472534
27,31,14073,0.00501251220703125,0.00501251220703125,0.00501251220703125,0.002245026407763362,1.0,1.0,2.2327187061309814
28,23,7812,-0.005002021789550781,0.005002021789550781,0.005465507507324219,0.0038392036221921444,0.25,0.75,1.302880048751831
29,30,5905,-0.004913330078125,0.004913330078125,0.004913330078125,0.0022394319530576468,0.0,1.0,2.194007396697998
30,10,1084,-0.004834651947021484,0.004834651947021484,0.005037784576416016,0.004079215694218874,0.25,0.75,1.1851915121078491
31,24,12782,-0.0047626495361328125,0.0047626495361328125,0.0047626495361328125,0.004237215034663677,0.0,1.0,1.1240047216415405
32,31,4690,0.004543304443359375,0.004543304443359375,0.006488800048828125,0.006609190721064806,0.75,0.75,0.6874222159385681
33,20,1168,0.004425048828125,0.004425048828125,0.004425048828125,0.0009521777974441648,1.0,1.0,4.647292613983154
34,31,714,-0.004375457763671875,0.004375457763671875,0.004375457763671875,0.0005963995936326683,0.0,1.0,7.336453437805176
35,6,5866,0.0042896270751953125,0.0042896270751953125,0.0059032440185546875,0.006102448329329491,0.5,0.5,0.7029353976249695
36,16,12528,0.0041561126708984375,0.0041561126708984375,0.0041561126708984375,0.0016726250760257244,1.0,1.0,2.4847843647003174
37,18,5964,0.004146575927734375,0.004146575927734375,0.004146575927734375,0.0015887607587501407,1.0,1.0,2.6099436283111572
38,31,9678,-0.004047393798828125,0.004047393798828125,0.004047393798828125,0.0011436650529503822,0.0,1.0,3.5389678478240967
39,26,529,0.004015445709228516,0.004015445709228516,0.004015445709228516,0.002253566635772586,1.0,1.0,1.7818180322647095
40,16,4974,0.0038604736328125,0.0038604736328125,0.0038604736328125,0.0011275511933490634,1.0,1.0,3.4237680435180664
41,19,8952,0.00385284423828125,0.00385284423828125,0.00385284423828125,0.0013735240790992975,1.0,1.0,2.805079460144043
42,26,592,0.00376129150390625,0.00376129150390625,0.00376129150390625,0.0005923968274146318,1.0,1.0,6.349277019500732
43,17,5245,-0.003688812255859375,0.003688812255859375,0.003688812255859375,0.0015292464522644877,0.0,1.0,2.4121763706207275
44,28,5152,-0.003658294677734375,0.003658294677734375,0.003658294677734375,0.001250679837539792,0.0,1.0,2.9250450134277344
45,30,12394,0.003570556640625,0.003570556640625,0.003570556640625,0.00109905656427145,1.0,1.0,3.248746871948242
46,9,7310,-0.0035483837127685547,0.0035483837127685547,0.0035483837127685547,0.005427251104265451,0.0,1.0,0.6538086533546448
47,10,11570,0.003452301025390625,0.003452301025390625,0.004024505615234375,0.003983133938163519,0.75,0.75,0.8667298555374146
48,31,11999,0.00341796875,0.00341796875,0.00341796875,0.0017002085223793983,1.0,1.0,2.0103232860565186
