rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
1,31,9936,supports_cannot,0.0034806132316589355,0.0034806132316589355,0.0034806132316589355,0.0021871456410735846,1.0,1.0,1.5913952589035034
2,30,5341,suppresses_cannot,-0.002991795539855957,0.002991795539855957,0.002991795539855957,0.0026107311714440584,0.0,1.0,1.145960807800293
3,11,11321,supports_cannot,0.0017688274383544922,0.0017688274383544922,0.0017688274383544922,0.000785615062341094,1.0,1.0,2.251519203186035
4,16,1241,supports_cannot,0.0017056465148925781,0.0017056465148925781,0.0017056465148925781,0.00022044579964131117,1.0,1.0,7.737260341644287
5,13,4208,supports_cannot,0.0014386177062988281,0.0014386177062988281,0.0014386177062988281,0.0008840567315928638,1.0,1.0,1.627291202545166
6,25,8701,supports_cannot,0.0012296438217163086,0.0012296438217163086,0.0012296438217163086,0.00019007550145033747,1.0,1.0,6.469238758087158
7,27,6070,suppresses_cannot,-0.0009818971157073975,0.0009818971157073975,0.0009818971157073975,0.0005539455451071262,0.0,1.0,1.7725516557693481
8,7,6673,supports_cannot,0.0009480118751525879,0.0009480118751525879,0.0009480118751525879,0.00067859300179407,1.0,1.0,1.39702570438385
9,20,2204,supports_cannot,0.0009472370147705078,0.0009472370147705078,0.0009472370147705078,0.0002164266916224733,1.0,1.0,4.376710891723633
10,12,13860,supports_cannot,0.0009112358093261719,0.0009112358093261719,0.0009112358093261719,0.00026825492386706173,1.0,1.0,3.396902561187744
11,20,5425,suppresses_cannot,-0.000897526741027832,0.000897526741027832,0.000897526741027832,0.0002557728730607778,0.0,1.0,3.5090770721435547
12,30,13853,suppresses_cannot,-0.0008347034454345703,0.0008347034454345703,0.0008347034454345703,0.00024741404922679067,0.0,1.0,3.373710870742798
13,24,5326,suppresses_cannot,-0.0008158683776855469,0.0008158683776855469,0.0008158683776855469,0.0006930164527148008,0.0,1.0,1.1772712469100952
14,22,4821,supports_cannot,0.0007621645927429199,0.0007621645927429199,0.0007621645927429199,0.0002891693729907274,1.0,1.0,2.6357030868530273
15,20,6356,suppresses_cannot,-0.0007587075233459473,0.0007587075233459473,0.0007587075233459473,0.00021308328723534942,0.0,1.0,3.560614824295044
16,22,12959,suppresses_cannot,-0.0007488131523132324,0.0007488131523132324,0.0007488131523132324,0.0005034467903897166,0.0,1.0,1.4873729944229126
17,16,2432,suppresses_cannot,-0.0007303357124328613,0.0007303357124328613,0.0007303357124328613,0.00033559094299562275,0.0,1.0,2.176267623901367
18,31,13076,supports_cannot,0.0007137656211853027,0.0007137656211853027,0.0007137656211853027,0.000300369574688375,1.0,1.0,2.376291275024414
19,18,7148,supports_cannot,0.0006702244281768799,0.0006702244281768799,0.0006702244281768799,0.0004723383754026145,1.0,1.0,1.4189497232437134
20,9,4255,supports_cannot,0.0006520748138427734,0.0006520748138427734,0.0006520748138427734,0.0002601286687422544,1.0,1.0,2.506739616394043
21,16,6310,supports_cannot,0.0006505250930786133,0.0006505250930786133,0.0006505250930786133,0.0003474072727840394,1.0,1.0,1.8725143671035767
22,23,7812,suppresses_cannot,-0.000647127628326416,0.000647127628326416,0.0006784796714782715,0.0004367154906503856,0.25,0.75,1.4818060398101807
23,15,5679,supports_cannot,0.0006385445594787598,0.0006385445594787598,0.0006385445594787598,0.00030039483681321144,1.0,1.0,2.1256842613220215
24,22,8514,suppresses_cannot,-0.0006086677312850952,0.0006086677312850952,0.0006288439035415649,0.0004767091595567763,0.25,0.75,1.2768114805221558
25,31,5041,suppresses_cannot,-0.0006074905395507812,0.0006074905395507812,0.0006074905395507812,0.00023773644352331758,0.0,1.0,2.5553109645843506
26,10,9064,suppresses_cannot,-0.0005816817283630371,0.0005816817283630371,0.0005816817283630371,0.0006031984812580049,0.0,1.0,0.9643288850784302
27,30,5905,suppresses_cannot,-0.000574946403503418,0.000574946403503418,0.000574946403503418,0.00025712072965689003,0.0,1.0,2.2360951900482178
28,12,1481,suppresses_cannot,-0.0005718618631362915,0.0005718618631362915,0.0005718618631362915,0.00032878146157599986,0.0,1.0,1.7393373250961304
29,24,12782,suppresses_cannot,-0.0005649924278259277,0.0005649924278259277,0.0005649924278259277,0.0005265476065687835,0.0,1.0,1.0730129480361938
30,31,14073,supports_cannot,0.0005638599395751953,0.0005638599395751953,0.0005638599395751953,0.00026004313258454204,1.0,1.0,2.16833233833313
31,26,529,supports_cannot,0.0005467981100082397,0.0005467981100082397,0.0005467981100082397,0.00027225082158111036,1.0,1.0,2.008435010910034
32,10,1084,suppresses_cannot,-0.0005413591861724854,0.0005413591861724854,0.0005744397640228271,0.00043566961539909244,0.25,0.75,1.242591142654419
33,20,1168,supports_cannot,0.0005056262016296387,0.0005056262016296387,0.0005056262016296387,8.17764230305329e-05,1.0,1.0,6.1830315589904785
34,31,714,suppresses_cannot,-0.0004909038543701172,0.0004909038543701172,0.0004909038543701172,6.2757775594946e-05,0.0,1.0,7.822199821472168
35,6,5866,supports_cannot,0.00048501789569854736,0.00048501789569854736,0.0006204396486282349,0.0005855000345036387,0.75,0.75,0.8283823728561401
36,18,5964,supports_cannot,0.000478595495223999,0.000478595495223999,0.000478595495223999,0.00021463766461238265,1.0,1.0,2.229783296585083
37,16,12528,supports_cannot,0.00046190619468688965,0.00046190619468688965,0.00046190619468688965,0.00021475409448612481,1.0,1.0,2.1508610248565674
