rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
1,31,9936,supports_cannot,0.0034556984901428223,0.0034556984901428223,0.0034556984901428223,0.0022051455453038216,1.0,1.0,1.5671067237854004
2,30,5341,suppresses_cannot,-0.0030252933502197266,0.0030252933502197266,0.0030252933502197266,0.002632499672472477,0.0,1.0,1.1492093801498413
3,11,11321,supports_cannot,0.0017544031143188477,0.0017544031143188477,0.0017544031143188477,0.0007985046249814332,1.0,1.0,2.197110891342163
4,16,1241,supports_cannot,0.0017249584197998047,0.0017249584197998047,0.0017249584197998047,0.0002208135847467929,1.0,1.0,7.811830997467041
5,13,4208,supports_cannot,0.0014586448669433594,0.0014586448669433594,0.0014586448669433594,0.0008899080567061901,1.0,1.0,1.6390961408615112
6,25,8701,supports_cannot,0.0012286901473999023,0.0012286901473999023,0.0012286901473999023,0.00019340064318384975,1.0,1.0,6.353082180023193
7,27,6070,suppresses_cannot,-0.0009661018848419189,0.0009661018848419189,0.0009661018848419189,0.0005570154753513634,0.0,1.0,1.7344255447387695
8,20,2204,supports_cannot,0.0009500980377197266,0.0009500980377197266,0.0009500980377197266,0.0002189551159972325,1.0,1.0,4.339236736297607
9,7,6673,supports_cannot,0.0009468197822570801,0.0009468197822570801,0.0009468197822570801,0.000682726560626179,1.0,1.0,1.3868213891983032
10,12,13860,supports_cannot,0.0009052753448486328,0.0009052753448486328,0.0009052753448486328,0.00025955133605748415,1.0,1.0,3.487847089767456
11,20,5425,suppresses_cannot,-0.0008945465087890625,0.0008945465087890625,0.0008945465087890625,0.0002548889897298068,0.0,1.0,3.5095534324645996
12,30,13853,suppresses_cannot,-0.0008320808410644531,0.0008320808410644531,0.0008320808410644531,0.00025034291320480406,0.0,1.0,3.3237643241882324
13,24,5326,suppresses_cannot,-0.0008189678192138672,0.0008189678192138672,0.0008189678192138672,0.0006998202879913151,0.0,1.0,1.1702544689178467
14,22,4821,supports_cannot,0.0007593631744384766,0.0007593631744384766,0.0007593631744384766,0.00029266392812132835,1.0,1.0,2.5946593284606934
15,20,6356,suppresses_cannot,-0.0007529258728027344,0.0007529258728027344,0.0007529258728027344,0.00021409404871519655,0.0,1.0,3.5167996883392334
16,22,12959,suppresses_cannot,-0.0007303804159164429,0.0007303804159164429,0.0007303804159164429,0.0005002761608920991,0.0,1.0,1.4599545001983643
17,16,2432,suppresses_cannot,-0.000729680061340332,0.000729680061340332,0.000729680061340332,0.00033721799263730645,0.0,1.0,2.163823127746582
18,31,13076,supports_cannot,0.0007150769233703613,0.0007150769233703613,0.0007150769233703613,0.00030275495373643935,1.0,1.0,2.3619000911712646
19,18,7148,supports_cannot,0.0006688833236694336,0.0006688833236694336,0.0006688833236694336,0.00047378704766742885,1.0,1.0,1.4117804765701294
20,9,4255,supports_cannot,0.0006521940231323242,0.0006521940231323242,0.0006521940231323242,0.00025527412071824074,1.0,1.0,2.554877281188965
21,16,6310,supports_cannot,0.0006474852561950684,0.0006474852561950684,0.0006474852561950684,0.00034854147816076875,1.0,1.0,1.8576992750167847
22,15,5679,supports_cannot,0.0006380081176757812,0.0006380081176757812,0.0006380081176757812,0.0003025508194696158,1.0,1.0,2.1087634563446045
23,23,7812,suppresses_cannot,-0.0006354153156280518,0.0006354153156280518,0.0006687343120574951,0.00043251289753243327,0.25,0.75,1.4691245555877686
24,22,8514,suppresses_cannot,-0.0006123930215835571,0.0006123930215835571,0.0006310790777206421,0.00047951427404768765,0.25,0.75,1.2771111726760864
25,31,5041,suppresses_cannot,-0.000609278678894043,0.000609278678894043,0.000609278678894043,0.00023997836979106069,0.0,1.0,2.5388898849487305
26,10,9064,suppresses_cannot,-0.0005788803100585938,0.0005788803100585938,0.0005788803100585938,0.0005933148204348981,0.0,1.0,0.9756714105606079
27,30,5905,suppresses_cannot,-0.0005748867988586426,0.0005748867988586426,0.0005748867988586426,0.00025469507090747356,0.0,1.0,2.25715708732605
28,24,12782,suppresses_cannot,-0.000571027398109436,0.000571027398109436,0.000571027398109436,0.0005285629304125905,0.0,1.0,1.0803394317626953
29,12,1481,suppresses_cannot,-0.0005681365728378296,0.0005681365728378296,0.0005681365728378296,0.00032943300902843475,0.0,1.0,1.7245891094207764
30,31,14073,supports_cannot,0.0005634427070617676,0.0005634427070617676,0.0005634427070617676,0.0002591659431345761,1.0,1.0,2.1740615367889404
31,26,529,supports_cannot,0.0005374550819396973,0.0005374550819396973,0.0005374550819396973,0.00026857186458073556,1.0,1.0,2.001159191131592
32,10,1084,suppresses_cannot,-0.0005231201648712158,0.0005231201648712158,0.0005585849285125732,0.0004302830493543297,0.25,0.75,1.215758204460144
33,6,5866,supports_cannot,0.0005045086145401001,0.0005045086145401001,0.0006315857172012329,0.0005940028349868953,0.75,0.75,0.8493370413780212
34,20,1168,supports_cannot,0.0005035996437072754,0.0005035996437072754,0.0005035996437072754,8.047048322623596e-05,1.0,1.0,6.258191108703613
35,31,714,suppresses_cannot,-0.0004901289939880371,0.0004901289939880371,0.0004901289939880371,6.25535030849278e-05,0.0,1.0,7.83535623550415
36,18,5964,supports_cannot,0.0004807412624359131,0.0004807412624359131,0.0004807412624359131,0.00021359782840590924,1.0,1.0,2.2506842613220215
37,16,12528,supports_cannot,0.0004627108573913574,0.0004627108573913574,0.0004627108573913574,0.00021572186960838735,1.0,1.0,2.144941806793213
38,26,592,supports_cannot,0.0004526972770690918,0.0004526972770690918,0.0004526972770690918,9.082955511985347e-05,1.0,1.0,4.984030723571777
39,31,9678,suppresses_cannot,-0.0004519820213317871,0.0004519820213317871,0.0004519820213317871,0.0001339927694061771,0.0,1.0,3.3731820583343506
40,16,11277,supports_cannot,0.00045108795166015625,0.00045108795166015625,0.00045108795166015625,0.0001298771967412904,1.0,1.0,3.4731881618499756
41,17,5245,suppresses_cannot,-0.00045037269592285156,0.00045037269592285156,0.00045037269592285156,0.00019103428348898888,0.0,1.0,2.357548952102661
42,28,5152,suppresses_cannot,-0.0004368424415588379,0.0004368424415588379,0.0004368424415588379,0.00013262228458188474,0.0,1.0,3.293884038925171
43,16,6950,suppresses_cannot,-0.00043079257011413574,0.00043079257011413574,0.000517040491104126,0.000420229829614982,0.25,0.75,1.0251356363296509
44,16,4974,supports_cannot,0.00043007731437683105,0.00043007731437683105,0.00043007731437683105,0.00012580868497025222,1.0,1.0,3.4185025691986084
45,9,7310,suppresses_cannot,-0.0004142969846725464,0.0004142969846725464,0.0004142969846725464,0.0006460506119765341,0.0,1.0,0.6412763595581055
46,19,8952,supports_cannot,0.00041371583938598633,0.00041371583938598633,0.00041371583938598633,0.00015579329920001328,1.0,1.0,2.655543327331543
47,31,11999,supports_cannot,0.000406116247177124,0.000406116247177124,0.000406116247177124,0.00020306705846451223,1.0,1.0,1.9999120235443115
48,28,4130,supports_cannot,0.0004004836082458496,0.0004004836082458496,0.0004004836082458496,4.505586912273429e-05,1.0,1.0,8.88860034942627
49,20,9623,suppresses_cannot,-0.0003916621208190918,0.0003916621208190918,0.00041925907135009766,0.0004255616804584861,0.25,0.75,0.9203416109085083
50,30,12394,supports_cannot,0.0003820359706878662,0.0003820359706878662,0.0003820359706878662,0.00012977028382010758,1.0,1.0,2.9439404010772705
51,31,5099,supports_cannot,0.0003758072853088379,0.0003758072853088379,0.0003758072853088379,0.00016511199646629393,1.0,1.0,2.2760748863220215
52,21,13085,suppresses_cannot,-0.0003711581230163574,0.0003711581230163574,0.0003711581230163574,0.00017120242409873754,0.0,1.0,2.1679489612579346
53,31,8591,supports_cannot,0.0003681182861328125,0.0003681182861328125,0.0003681182861328125,0.00013527434202842414,1.0,1.0,2.7212719917297363
54,31,10712,suppresses_cannot,-0.00036725401878356934,0.00036725401878356934,0.00036725401878356934,0.0001422865898348391,0.0,1.0,2.5810866355895996
55,17,8517,suppresses_cannot,-0.00036460161209106445,0.00036460161209106445,0.00036460161209106445,0.0002573428791947663,0.0,1.0,1.4167931079864502
