rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
1,31,9936,supports_cannot,0.0034556984901428223,0.0034556984901428223,0.0034556984901428223,0.0022051455453038216,1.0,1.0,1.5671067237854004
3,11,11321,supports_cannot,0.0017544031143188477,0.0017544031143188477,0.0017544031143188477,0.0007985046249814332,1.0,1.0,2.197110891342163
4,16,1241,supports_cannot,0.0017249584197998047,0.0017249584197998047,0.0017249584197998047,0.0002208135847467929,1.0,1.0,7.811830997467041
5,13,4208,supports_cannot,0.0014586448669433594,0.0014586448669433594,0.0014586448669433594,0.0008899080567061901,1.0,1.0,1.6390961408615112
6,25,8701,supports_cannot,0.0012286901473999023,0.0012286901473999023,0.0012286901473999023,0.00019340064318384975,1.0,1.0,6.353082180023193
8,20,2204,supports_cannot,0.0009500980377197266,0.0009500980377197266,0.0009500980377197266,0.0002189551159972325,1.0,1.0,4.339236736297607
9,7,6673,supports_cannot,0.0009468197822570801,0.0009468197822570801,0.0009468197822570801,0.000682726560626179,1.0,1.0,1.3868213891983032
10,12,13860,supports_cannot,0.0009052753448486328,0.0009052753448486328,0.0009052753448486328,0.00025955133605748415,1.0,1.0,3.487847089767456
14,22,4821,supports_cannot,0.0007593631744384766,0.0007593631744384766,0.0007593631744384766,0.00029266392812132835,1.0,1.0,2.5946593284606934
18,31,13076,supports_cannot,0.0007150769233703613,0.0007150769233703613,0.0007150769233703613,0.00030275495373643935,1.0,1.0,2.3619000911712646
19,18,7148,supports_cannot,0.0006688833236694336,0.0006688833236694336,0.0006688833236694336,0.00047378704766742885,1.0,1.0,1.4117804765701294
20,9,4255,supports_cannot,0.0006521940231323242,0.0006521940231323242,0.0006521940231323242,0.00025527412071824074,1.0,1.0,2.554877281188965
21,16,6310,supports_cannot,0.0006474852561950684,0.0006474852561950684,0.0006474852561950684,0.00034854147816076875,1.0,1.0,1.8576992750167847
22,15,5679,supports_cannot,0.0006380081176757812,0.0006380081176757812,0.0006380081176757812,0.0003025508194696158,1.0,1.0,2.1087634563446045
30,31,14073,supports_cannot,0.0005634427070617676,0.0005634427070617676,0.0005634427070617676,0.0002591659431345761,1.0,1.0,2.1740615367889404
31,26,529,supports_cannot,0.0005374550819396973,0.0005374550819396973,0.0005374550819396973,0.00026857186458073556,1.0,1.0,2.001159191131592
33,6,5866,supports_cannot,0.0005045086145401001,0.0005045086145401001,0.0006315857172012329,0.0005940028349868953,0.75,0.75,0.8493370413780212
34,20,1168,supports_cannot,0.0005035996437072754,0.0005035996437072754,0.0005035996437072754,8.047048322623596e-05,1.0,1.0,6.258191108703613
36,18,5964,supports_cannot,0.0004807412624359131,0.0004807412624359131,0.0004807412624359131,0.00021359782840590924,1.0,1.0,2.2506842613220215
37,16,12528,supports_cannot,0.0004627108573913574,0.0004627108573913574,0.0004627108573913574,0.00021572186960838735,1.0,1.0,2.144941806793213
38,26,592,supports_cannot,0.0004526972770690918,0.0004526972770690918,0.0004526972770690918,9.082955511985347e-05,1.0,1.0,4.984030723571777
40,16,11277,supports_cannot,0.00045108795166015625,0.00045108795166015625,0.00045108795166015625,0.0001298771967412904,1.0,1.0,3.4731881618499756
44,16,4974,supports_cannot,0.00043007731437683105,0.00043007731437683105,0.00043007731437683105,0.00012580868497025222,1.0,1.0,3.4185025691986084
46,19,8952,supports_cannot,0.00041371583938598633,0.00041371583938598633,0.00041371583938598633,0.00015579329920001328,1.0,1.0,2.655543327331543
47,31,11999,supports_cannot,0.000406116247177124,0.000406116247177124,0.000406116247177124,0.00020306705846451223,1.0,1.0,1.9999120235443115
48,28,4130,supports_cannot,0.0004004836082458496,0.0004004836082458496,0.0004004836082458496,4.505586912273429e-05,1.0,1.0,8.88860034942627
50,30,12394,supports_cannot,0.0003820359706878662,0.0003820359706878662,0.0003820359706878662,0.00012977028382010758,1.0,1.0,2.9439404010772705
51,31,5099,supports_cannot,0.0003758072853088379,0.0003758072853088379,0.0003758072853088379,0.00016511199646629393,1.0,1.0,2.2760748863220215
53,31,8591,supports_cannot,0.0003681182861328125,0.0003681182861328125,0.0003681182861328125,0.00013527434202842414,1.0,1.0,2.7212719917297363
56,22,7399,supports_cannot,0.00036385655403137207,0.00036385655403137207,0.00036385655403137207,9.808578761294484e-05,1.0,1.0,3.7095746994018555
58,10,11570,supports_cannot,0.00035381317138671875,0.00035381317138671875,0.00047391653060913086,0.0004876476596109569,0.75,0.75,0.7255508303642273
61,11,4258,supports_cannot,0.00035127997398376465,0.00035127997398376465,0.00043782591819763184,0.00046432105591520667,0.75,0.75,0.7565454244613647
63,27,1686,supports_cannot,0.000347137451171875,0.000347137451171875,0.000347137451171875,7.040618220344186e-05,1.0,1.0,4.930496692657471
69,28,12743,supports_cannot,0.0003349781036376953,0.0003349781036376953,0.0003349781036376953,8.164974860846996e-05,1.0,1.0,4.1026225090026855
73,19,12151,supports_cannot,0.0003269016742706299,0.0003269016742706299,0.0003269016742706299,0.0001925716787809506,1.0,1.0,1.6975584030151367
78,17,1632,supports_cannot,0.0003223121166229248,0.0003223121166229248,0.0003223121166229248,0.0002185193879995495,1.0,1.0,1.4749817848205566
79,18,3236,supports_cannot,0.0003216564655303955,0.0003216564655303955,0.0003216564655303955,8.998312841868028e-05,1.0,1.0,3.5746307373046875
80,16,3884,supports_cannot,0.00032126903533935547,0.00032126903533935547,0.00032126903533935547,0.00019696452363859862,1.0,1.0,1.6311010122299194
81,23,2343,supports_cannot,0.0003198981285095215,0.0003198981285095215,0.0003198981285095215,0.00018750340677797794,1.0,1.0,1.706092357635498
86,27,8140,supports_cannot,0.0003116875886917114,0.0003116875886917114,0.0003116875886917114,0.00012598477769643068,1.0,1.0,2.4740099906921387
87,18,11215,supports_cannot,0.0003111511468887329,0.0003111511468887329,0.0003111511468887329,0.00019609826267696917,1.0,1.0,1.5867103338241577
88,30,11618,supports_cannot,0.00031048059463500977,0.00031048059463500977,0.00031048059463500977,4.376665674499236e-05,1.0,1.0,7.093998432159424
89,10,4789,supports_cannot,0.0003084540367126465,0.0003084540367126465,0.0003084540367126465,0.00013899183250032365,1.0,1.0,2.219224214553833
90,18,8592,supports_cannot,0.0003072023391723633,0.0003072023391723633,0.0003072023391723633,0.00010293533705407754,1.0,1.0,2.9844205379486084
91,24,13102,supports_cannot,0.00030663609504699707,0.00030663609504699707,0.00030663609504699707,7.788629591232166e-05,1.0,1.0,3.9369711875915527
