rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
2,30,5341,suppresses_cannot,-0.0030252933502197266,0.0030252933502197266,0.0030252933502197266,0.002632499672472477,0.0,1.0,1.1492093801498413
7,27,6070,suppresses_cannot,-0.0009661018848419189,0.0009661018848419189,0.0009661018848419189,0.0005570154753513634,0.0,1.0,1.7344255447387695
11,20,5425,suppresses_cannot,-0.0008945465087890625,0.0008945465087890625,0.0008945465087890625,0.0002548889897298068,0.0,1.0,3.5095534324645996
12,30,13853,suppresses_cannot,-0.0008320808410644531,0.0008320808410644531,0.0008320808410644531,0.00025034291320480406,0.0,1.0,3.3237643241882324
13,24,5326,suppresses_cannot,-0.0008189678192138672,0.0008189678192138672,0.0008189678192138672,0.0006998202879913151,0.0,1.0,1.1702544689178467
15,20,6356,suppresses_cannot,-0.0007529258728027344,0.0007529258728027344,0.0007529258728027344,0.00021409404871519655,0.0,1.0,3.5167996883392334
16,22,12959,suppresses_cannot,-0.0007303804159164429,0.0007303804159164429,0.0007303804159164429,0.0005002761608920991,0.0,1.0,1.4599545001983643
17,16,2432,suppresses_cannot,-0.000729680061340332,0.000729680061340332,0.000729680061340332,0.00033721799263730645,0.0,1.0,2.163823127746582
23,23,7812,suppresses_cannot,-0.0006354153156280518,0.0006354153156280518,0.0006687343120574951,0.00043251289753243327,0.25,0.75,1.4691245555877686
24,22,8514,suppresses_cannot,-0.0006123930215835571,0.0006123930215835571,0.0006310790777206421,0.00047951427404768765,0.25,0.75,1.2771111726760864
25,31,5041,suppresses_cannot,-0.000609278678894043,0.000609278678894043,0.000609278678894043,0.00023997836979106069,0.0,1.0,2.5388898849487305
26,10,9064,suppresses_cannot,-0.0005788803100585938,0.0005788803100585938,0.0005788803100585938,0.0005933148204348981,0.0,1.0,0.9756714105606079
27,30,5905,suppresses_cannot,-0.0005748867988586426,0.0005748867988586426,0.0005748867988586426,0.00025469507090747356,0.0,1.0,2.25715708732605
28,24,12782,suppresses_cannot,-0.000571027398109436,0.000571027398109436,0.000571027398109436,0.0005285629304125905,0.0,1.0,1.0803394317626953
29,12,1481,suppresses_cannot,-0.0005681365728378296,0.0005681365728378296,0.0005681365728378296,0.00032943300902843475,0.0,1.0,1.7245891094207764
32,10,1084,suppresses_cannot,-0.0005231201648712158,0.0005231201648712158,0.0005585849285125732,0.0004302830493543297,0.25,0.75,1.215758204460144
35,31,714,suppresses_cannot,-0.0004901289939880371,0.0004901289939880371,0.0004901289939880371,6.25535030849278e-05,0.0,1.0,7.83535623550415
39,31,9678,suppresses_cannot,-0.0004519820213317871,0.0004519820213317871,0.0004519820213317871,0.0001339927694061771,0.0,1.0,3.3731820583343506
41,17,5245,suppresses_cannot,-0.00045037269592285156,0.00045037269592285156,0.00045037269592285156,0.00019103428348898888,0.0,1.0,2.357548952102661
42,28,5152,suppresses_cannot,-0.0004368424415588379,0.0004368424415588379,0.0004368424415588379,0.00013262228458188474,0.0,1.0,3.293884038925171
43,16,6950,suppresses_cannot,-0.00043079257011413574,0.00043079257011413574,0.000517040491104126,0.000420229829614982,0.25,0.75,1.0251356363296509
45,9,7310,suppresses_cannot,-0.0004142969846725464,0.0004142969846725464,0.0004142969846725464,0.0006460506119765341,0.0,1.0,0.6412763595581055
49,20,9623,suppresses_cannot,-0.0003916621208190918,0.0003916621208190918,0.00041925907135009766,0.0004255616804584861,0.25,0.75,0.9203416109085083
52,21,13085,suppresses_cannot,-0.0003711581230163574,0.0003711581230163574,0.0003711581230163574,0.00017120242409873754,0.0,1.0,2.1679489612579346
54,31,10712,suppresses_cannot,-0.00036725401878356934,0.00036725401878356934,0.00036725401878356934,0.0001422865898348391,0.0,1.0,2.5810866355895996
55,17,8517,suppresses_cannot,-0.00036460161209106445,0.00036460161209106445,0.00036460161209106445,0.0002573428791947663,0.0,1.0,1.4167931079864502
57,24,3804,suppresses_cannot,-0.0003573894500732422,0.0003573894500732422,0.0003573894500732422,9.180988126900047e-05,0.0,1.0,3.892712354660034
59,27,4251,suppresses_cannot,-0.00035318732261657715,0.00035318732261657715,0.00035318732261657715,9.064796176971868e-05,0.0,1.0,3.896252155303955
60,30,11970,suppresses_cannot,-0.0003522038459777832,0.0003522038459777832,0.0003522038459777832,8.221784082707018e-05,0.0,1.0,4.283788681030273
62,30,12336,suppresses_cannot,-0.00035050511360168457,0.00035050511360168457,0.00035050511360168457,0.00018507234926801175,0.0,1.0,1.8938815593719482
64,17,7878,suppresses_cannot,-0.00034224987030029297,0.00034224987030029297,0.00034224987030029297,0.0002186511264881119,0.0,1.0,1.5652782917022705
65,26,12639,suppresses_cannot,-0.000341564416885376,0.000341564416885376,0.000341564416885376,0.00013760675210505724,0.0,1.0,2.482177734375
66,26,13447,suppresses_cannot,-0.0003406107425689697,0.0003406107425689697,0.0003406107425689697,0.00016481828060932457,0.0,1.0,2.0665836334228516
67,20,9424,suppresses_cannot,-0.0003400444984436035,0.0003400444984436035,0.0003400444984436035,0.0004210266924928874,0.0,1.0,0.8076554536819458
68,12,1889,suppresses_cannot,-0.0003369152545928955,0.0003369152545928955,0.0003369152545928955,0.00014843855751678348,0.0,1.0,2.269728660583496
70,17,4374,suppresses_cannot,-0.00033277273178100586,0.00033277273178100586,0.00047832727432250977,0.0004355717683210969,0.25,0.75,0.763990581035614
71,27,8839,suppresses_cannot,-0.0003314018249511719,0.0003314018249511719,0.0003314018249511719,0.00011372928565833718,0.0,1.0,2.9139533042907715
72,31,3387,suppresses_cannot,-0.00033026933670043945,0.00033026933670043945,0.00033026933670043945,0.00012468053319025785,0.0,1.0,2.6489245891571045
74,28,4074,suppresses_cannot,-0.0003268122673034668,0.0003268122673034668,0.0003268122673034668,0.00016454971046186984,0.0,1.0,1.9861005544662476
75,20,13715,suppresses_cannot,-0.00032582879066467285,0.00032582879066467285,0.00032582879066467285,9.645900718169287e-05,0.0,1.0,3.377899169921875
76,31,11276,suppresses_cannot,-0.00032508373260498047,0.00032508373260498047,0.00032508373260498047,0.0001311433588853106,0.0,1.0,2.4788424968719482
77,29,841,suppresses_cannot,-0.0003230273723602295,0.0003230273723602295,0.0003230273723602295,0.00015779533714521676,0.0,1.0,2.047128677368164
82,20,9928,suppresses_cannot,-0.0003183633089065552,0.0003183633089065552,0.0003183633089065552,0.0002508201287128031,0.0,1.0,1.269289255142212
83,20,10080,suppresses_cannot,-0.00031819939613342285,0.00031819939613342285,0.00031819939613342285,9.507893264526501e-05,0.0,1.0,3.346686601638794
84,27,11269,suppresses_cannot,-0.0003177821636199951,0.0003177821636199951,0.0003177821636199951,9.094857523450628e-05,0.0,1.0,3.494086265563965
85,29,10790,suppresses_cannot,-0.00031769275665283203,0.00031769275665283203,0.00031769275665283203,6.56273914501071e-05,0.0,1.0,4.840856075286865
97,31,10075,suppresses_cannot,-0.0002931952476501465,0.0002931952476501465,0.0002931952476501465,8.491139305988327e-05,0.0,1.0,3.4529552459716797
98,31,7944,suppresses_cannot,-0.0002918839454650879,0.0002918839454650879,0.0002918839454650879,2.50194007094251e-05,0.0,1.0,11.666303634643555
102,17,9255,suppresses_cannot,-0.00028967857360839844,0.00028967857360839844,0.00028967857360839844,8.936165977502242e-05,0.0,1.0,3.241642713546753
104,25,12935,suppresses_cannot,-0.00028783082962036133,0.00028783082962036133,0.00028783082962036133,6.125324580352753e-05,0.0,1.0,4.699029922485352
105,14,8131,suppresses_cannot,-0.00028654932975769043,0.00028654932975769043,0.00028654932975769043,0.00021500352886505425,0.0,1.0,1.3327656984329224
109,9,10216,suppresses_cannot,-0.000279843807220459,0.000279843807220459,0.0006088614463806152,0.0007268523331731558,0.25,0.75,0.3850077986717224
111,14,3917,suppresses_cannot,-0.0002791285514831543,0.0002791285514831543,0.0004355311393737793,0.0003649822319857776,0.25,0.75,0.7647730112075806
113,0,12829,suppresses_cannot,-0.00027626752853393555,0.00027626752853393555,0.00027626752853393555,9.228710405295715e-05,0.0,1.0,2.993565797805786
115,15,8697,suppresses_cannot,-0.000274658203125,0.000274658203125,0.000274658203125,0.0002773706510197371,0.0,1.0,0.990220844745636
117,31,3611,suppresses_cannot,-0.00027358531951904297,0.00027358531951904297,0.00027358531951904297,0.00015990168321877718,0.0,1.0,1.710959553718567
119,18,11782,suppresses_cannot,-0.000269085168838501,0.000269085168838501,0.000269085168838501,0.00015984586207196116,0.0,1.0,1.6834040880203247
120,22,9265,suppresses_cannot,-0.0002688169479370117,0.0002688169479370117,0.0002688169479370117,0.0001121593450079672,0.0,1.0,2.3967413902282715
122,17,13031,suppresses_cannot,-0.0002676844596862793,0.0002676844596862793,0.0002676844596862793,0.0001265930332010612,0.0,1.0,2.114527463912964
127,16,9495,suppresses_cannot,-0.000265270471572876,0.000265270471572876,0.000265270471572876,9.618769399821758e-05,0.0,1.0,2.7578420639038086
128,21,4502,suppresses_cannot,-0.0002650618553161621,0.0002650618553161621,0.0002650618553161621,8.575675019528717e-05,0.0,1.0,3.0908570289611816
131,20,5512,suppresses_cannot,-0.000262528657913208,0.000262528657913208,0.000262528657913208,8.137815166264772e-05,0.0,1.0,3.2260336875915527
134,15,12099,suppresses_cannot,-0.0002606809139251709,0.0002606809139251709,0.0002606809139251709,0.000234807186643593,0.0,1.0,1.1101913452148438
135,15,1832,suppresses_cannot,-0.00026029348373413086,0.00026029348373413086,0.00026029348373413086,9.230596333509311e-05,0.0,1.0,2.819898843765259
137,18,7152,suppresses_cannot,-0.00025787949562072754,0.00025787949562072754,0.00025787949562072754,0.00011277152952970937,0.0,1.0,2.286742925643921
139,25,5676,suppresses_cannot,-0.00025656819343566895,0.00025656819343566895,0.00025656819343566895,5.998374035698362e-05,0.0,1.0,4.2772955894470215
142,31,5369,suppresses_cannot,-0.0002554357051849365,0.0002554357051849365,0.0002554357051849365,9.957741713151336e-05,0.0,1.0,2.565197229385376
143,17,5191,suppresses_cannot,-0.00025513768196105957,0.00025513768196105957,0.00025513768196105957,0.00012910251098219305,0.0,1.0,1.9762409925460815
144,18,3031,suppresses_cannot,-0.0002550482749938965,0.0002550482749938965,0.0002550482749938965,6.750533066224307e-05,0.0,1.0,3.7781946659088135
145,28,6596,suppresses_cannot,-0.00025343894958496094,0.00025343894958496094,0.00025343894958496094,8.744563820073381e-05,0.0,1.0,2.8982458114624023
148,19,11716,suppresses_cannot,-0.0002530217170715332,0.0002530217170715332,0.0002530217170715332,7.987095887074247e-05,0.0,1.0,3.1678812503814697
149,18,9220,suppresses_cannot,-0.0002529025077819824,0.0002529025077819824,0.0002529025077819824,7.293921225937083e-05,0.0,1.0,3.4673051834106445
150,15,630,suppresses_cannot,-0.0002526789903640747,0.0002526789903640747,0.0002526789903640747,0.0001714191894279793,0.0,1.0,1.47404146194458
152,31,10715,suppresses_cannot,-0.00025093555450439453,0.00025093555450439453,0.00025093555450439453,6.99451775290072e-05,0.0,1.0,3.5876033306121826
157,30,3843,suppresses_cannot,-0.000247955322265625,0.000247955322265625,0.000247955322265625,9.705331467557698e-05,0.0,1.0,2.5548362731933594
159,31,2085,suppresses_cannot,-0.00024393200874328613,0.00024393200874328613,0.00024393200874328613,0.00010856852895813063,0.0,1.0,2.2468020915985107
161,15,5862,suppresses_cannot,-0.00024296343326568604,0.00024296343326568604,0.00024296343326568604,0.00017636391567066312,0.0,1.0,1.377625584602356
163,18,13165,suppresses_cannot,-0.00024262070655822754,0.00024262070655822754,0.00024262070655822754,7.034476584522054e-05,0.0,1.0,3.4490227699279785
164,17,13012,suppresses_cannot,-0.00024236738681793213,0.00024236738681793213,0.00024236738681793213,0.0001915252214530483,0.0,1.0,1.265459418296814
166,28,6033,suppresses_cannot,-0.00024062395095825195,0.00024062395095825195,0.00024062395095825195,0.00010447340901009738,0.0,1.0,2.3032076358795166
168,26,3004,suppresses_cannot,-0.00023943185806274414,0.00023943185806274414,0.00023943185806274414,2.689490793272853e-05,0.0,1.0,8.902497291564941
169,29,9595,suppresses_cannot,-0.00023931264877319336,0.00023931264877319336,0.00023931264877319336,7.929799176054075e-05,0.0,1.0,3.017890453338623
170,29,4265,suppresses_cannot,-0.00023919343948364258,0.00023919343948364258,0.00023919343948364258,8.057849481701851e-05,0.0,1.0,2.9684524536132812
173,19,6090,suppresses_cannot,-0.00023499131202697754,0.00023499131202697754,0.00023499131202697754,7.079182250890881e-05,0.0,1.0,3.319469690322876
174,7,10909,suppresses_cannot,-0.0002336949110031128,0.0002336949110031128,0.00024245679378509521,0.0004145977145526558,0.5,0.5,0.5636666417121887
175,31,5441,suppresses_cannot,-0.00023350119590759277,0.00023350119590759277,0.00023350119590759277,7.162094698287547e-05,0.0,1.0,3.2602360248565674
179,31,124,suppresses_cannot,-0.00023177266120910645,0.00023177266120910645,0.00023177266120910645,5.347877959138714e-05,0.0,1.0,4.33391809463501
181,29,2252,suppresses_cannot,-0.0002307593822479248,0.0002307593822479248,0.0002307593822479248,6.879163265693933e-05,0.0,1.0,3.354468822479248
