rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
1,29,4655,supports_refusal,0.2412109375,0.2412109375,0.2412109375,0.0,1.0,1.0
2,31,2398,supports_refusal,0.2275390625,0.2275390625,0.2275390625,0.0,1.0,1.0
3,13,4208,suppresses_refusal,-0.21875,0.21875,0.21875,0.0,0.0,1.0
4,27,8140,supports_refusal,0.21875,0.21875,0.21875,0.0,1.0,1.0
5,31,1209,supports_refusal,0.203125,0.203125,0.203125,0.0,1.0,1.0
6,26,2407,supports_refusal,0.177734375,0.177734375,0.177734375,0.0,1.0,1.0
7,30,13607,supports_refusal,0.166015625,0.166015625,0.166015625,0.0,1.0,1.0
8,31,4302,supports_refusal,0.15625,0.15625,0.15625,0.0,1.0,1.0
9,30,10879,suppresses_refusal,-0.154296875,0.154296875,0.154296875,0.0,0.0,1.0
10,19,10348,suppresses_refusal,-0.146484375,0.146484375,0.146484375,0.0,0.0,1.0
11,31,5593,suppresses_refusal,-0.1376953125,0.1376953125,0.1376953125,0.0,0.0,1.0
12,29,11082,suppresses_refusal,-0.13671875,0.13671875,0.13671875,0.0,0.0,1.0
13,11,4258,suppresses_refusal,-0.134765625,0.134765625,0.134765625,0.0,0.0,1.0
14,31,11817,suppresses_refusal,-0.1298828125,0.1298828125,0.1298828125,0.0,0.0,1.0
15,30,9138,supports_refusal,0.1298828125,0.1298828125,0.1298828125,0.0,1.0,1.0
16,31,1834,supports_refusal,0.126953125,0.126953125,0.126953125,0.0,1.0,1.0
17,31,11301,supports_refusal,0.1220703125,0.1220703125,0.1220703125,0.0,1.0,1.0
18,30,14130,supports_refusal,0.1220703125,0.1220703125,0.1220703125,0.0,1.0,1.0
19,31,714,suppresses_refusal,-0.1162109375,0.1162109375,0.1162109375,0.0,0.0,1.0
20,31,10014,supports_refusal,0.1142578125,0.1142578125,0.1142578125,0.0,1.0,1.0
21,29,4145,suppresses_refusal,-0.11279296875,0.11279296875,0.11279296875,0.0,0.0,1.0
22,31,5230,supports_refusal,0.1103515625,0.1103515625,0.1103515625,0.0,1.0,1.0
23,15,4973,suppresses_refusal,-0.1064453125,0.1064453125,0.1064453125,0.0,0.0,1.0
24,29,6857,supports_refusal,0.1015625,0.1015625,0.1015625,0.0,1.0,1.0
25,26,14,supports_refusal,0.1005859375,0.1005859375,0.1005859375,0.0,1.0,1.0
26,23,1751,suppresses_refusal,-0.10009765625,0.10009765625,0.10009765625,0.0,0.0,1.0
27,31,1686,supports_refusal,0.09814453125,0.09814453125,0.09814453125,0.0,1.0,1.0
28,28,3697,suppresses_refusal,-0.0966796875,0.0966796875,0.0966796875,0.0,0.0,1.0
